1,1,1,-38.473,8.634,84.604,39.3
2,1,2,-39.895,-28.880,93.294,38.9
3,1,3,-57.076,-9.562,77.439,40.9
4,1,1,-40.154,-9.559,89.734,0.0
5,2,1,-51.155,26.914,66.065,37.2
6,2,3,-67.497,6.477,58.072,37.6
7,2,4,-71.835,22.115,37.640,37.0
8,2,2,-63.055,24.380,52.346,0.0
9,3,2,-56.069,-49.118,80.686,40.3
10,3,3,-72.341,-29.617,65.522,36.7
11,3,3,-68.942,-47.992,66.170,0.0
12,4,3,-80.047,-11.793,44.030,40.7
13,4,4,-81.342,2.605,21.617,34.0
14,4,4,-83.983,-13.102,24.839,0.0
15,5,5,37.492,9.942,84.648,39.0
16,5,6,39.401,-28.293,93.506,39.2
17,5,7,55.859,-8.634,78.224,40.9
18,5,5,38.293,-8.702,90.549,0.0
19,6,5,49.824,27.354,67.243,37.0
20,6,7,66.337,8.158,58.736,37.1
21,6,8,71.344,23.106,37.681,37.0
22,6,6,62.345,25.351,52.747,0.0
23,7,6,54.798,-47.767,82.138,40.4
24,7,7,71.228,-27.778,67.002,37.2
25,7,7,69.414,-46.179,66.167,0.0
26,8,7,79.353,-10.899,45.643,40.7
27,8,8,80.866,4.380,23.264,33.4
28,8,8,83.770,-12.016,25.035,0.0
